Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R3	Early_Gilteritinib_MOLM14_FLT3_R1	Late_Gilteritinib_MOLM14_FLT3_R1	Early_Gilteritinib_MOLM14_FLT3_R2	Late_Gilteritinib_MOLM14_FLT3_R2	parenta_MOLM14_R4	Early_Gilteritinib_MOLM14_FLT3_R3	Late_Gilteritinib_MOLM14_FLT3_R3	Early_Gilteritinib_MOLM14_FLT3_R4	Late_Gilteritinib_MOLM14_FLT3_R4	Pool02
sp|A0JNW5|BLT3B_HUMAN	A0JNW5	BLT3B_HUMAN	BLTP3B	1464	Homo sapiens	Bridge-like lipid transfer protein family member 3B	1:Experimental evidence at protein level	23.36	10.000	0.9990	28	28	28	47	47	47	186498372	186498372	186498372	10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15C(57.0214), 15K(229.1629), 16K(229.1629), 18K(229.1629), 20K(229.1629), 26K(229.1629), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 7K(229.1629), 7M(15.9949), 8K(229.1629), N-term(229.1692)			18.489.042.241	14.024.604.092	25.613.754.182	16.701.461.633	22.845.102.664	16.002.128.904	18.811.812.500	19.068.320.740	18.002.781.746	25.269.982.742	28.771.217.979
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	Shootin-1	1:Experimental evidence at protein level	42.79	10.000	0.9990	27	27	27	39	39	39	122641200	122641200	122641200	10K(229.1629), 11C(57.0214), 13K(229.1629), 14K(229.1629), 15K(229.1629), 19K(229.1629), 1K(229.1629), 20K(229.1629), 4C(57.0214), 5C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			17.911.474.462	17.661.279.075	18.934.446.500	19.099.347.627	23.983.175.374	12.364.758.242	16.915.655.457	17.074.243.899	15.939.347.319	26.871.449.392	19.251.521.084
sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	Homo sapiens	Transmembrane protein 223	1:Experimental evidence at protein level	12.87	10.000	0.9990	3	3	3	4	4	4	33434958	33434958	33434958	4C(57.0214), 5M(15.9949), 8K(229.1629), N-term(229.1692)			1.241.429.824	979.574.893	1.922.385.820	1.364.628.398	1.642.714.707	1.259.086.699	1.548.871.621	1.983.001.094	1.213.828.076	1.969.354.727	2.417.417.031
sp|A1A4S6|RHG10_HUMAN	A1A4S6	RHG10_HUMAN	ARHGAP10	786	Homo sapiens	Rho GTPase-activating protein 10	1:Experimental evidence at protein level	6.11	10.000	0.9990	6	5	5	10	8	8	107159278	45503665	107159278	10K(229.1629), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			2.536.468.774	2.413.144.014	3.439.232.783	2.274.249.468	2.785.944.263	2.509.579.482	3.326.248.708	3.101.779.199	2.633.077.852	3.128.282.861	4.110.316.475
sp|A1L020|MEX3A_HUMAN	A1L020	MEX3A_HUMAN	MEX3A	520	Homo sapiens	RNA-binding protein MEX3A	1:Experimental evidence at protein level	9.62	10.000	0.9990	5	4	5	6	5	6	23872136	23872136	23872136	7M(15.9949), 9K(229.1629), N-term(229.1692)			5.733.882.129	3.075.126.182	4.560.062.109	3.096.461.152	7.047.597.979	4.201.761.157	3.612.077.031	3.203.225.352	3.063.310.518	4.847.465.781	4.599.036.162
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens	2-hydroxyacyl-CoA lyase 2	1:Experimental evidence at protein level	45.57	10.000	0.9990	20	20	20	54	54	54	582632800	582632800	582632800	10C(57.0214), 12C(57.0214), 14K(229.1629), 15M(15.9949), 16C(57.0214), 17K(229.1629), 19K(229.1629), 1C(57.0214), 1K(229.1629), 21K(229.1629), 24K(229.1629), 2C(57.0214), 4M(15.9949), 8K(229.1629), N-term(229.1692)			27.734.061.772	22.042.943.546	30.304.937.114	24.927.045.222	35.218.351.914	21.790.869.832	26.954.775.444	29.066.221.978	25.336.791.843	42.239.173.616	43.532.015.017
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	Homo sapiens	Pleckstrin homology domain-containing family G member 3	1:Experimental evidence at protein level	2.54	10.000	0.9990	3	3	3	4	4	4	3086342	3086342	3086342	7K(229.1629), 9K(229.1629), N-term(229.1692)			742.939.116	537.839.478	648.911.260	666.941.709	747.083.691	656.229.683	496.989.553	441.897.380	644.087.856	729.535.347	678.047.485
sp|A2A288|ZC12D_HUMAN	A2A288	ZC12D_HUMAN	ZC3H12D	527	Homo sapiens	Probable ribonuclease ZC3H12D	1:Experimental evidence at protein level	9.49	10.000	0.9990	5	5	5	6	6	6	81175716	81175716	81175716	11K(229.1629), N-term(229.1692)			1.832.793.857	2.473.237.529	2.711.016.738	2.386.669.609	2.987.853.164	1.806.614.004	2.573.751.973	1.501.788.350	2.104.880.186	2.257.920.566	2.519.632.891
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens	NBAS subunit of NRZ tethering complex	1:Experimental evidence at protein level	16.20	10.000	0.9990	33	33	33	57	57	57	125793916	125793916	125793916	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 17K(229.1629), 1C(57.0214), 20K(229.1629), 24C(57.0214), 27K(229.1629), 2C(57.0214), 4C(57.0214), 7K(229.1629), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			22.888.287.317	19.477.440.630	27.745.620.419	20.459.435.815	28.921.050.852	18.273.320.270	24.133.845.394	26.591.207.041	24.087.339.377	34.628.493.970	35.592.907.993
sp|A2RTX5|SYTC2_HUMAN	A2RTX5	SYTC2_HUMAN	TARS3	802	Homo sapiens	Threonine--tRNA ligase 2, cytoplasmic	1:Experimental evidence at protein level	12.59	10.000	0.9990	8	6	6	10	7	7	90231038	7784380	90231038	11K(229.1629), 12C(57.0214), 14K(229.1629), 18C(57.0214), 8K(229.1629), N-term(229.1692), N-term(42.0106)			3.823.387.974	2.784.483.804	4.495.294.785	2.937.969.897	4.305.035.000	3.610.692.822	3.998.388.740	3.719.246.646	3.628.310.957	4.326.891.616	4.924.944.297
sp|A2RU54|HMX2_HUMAN	A2RU54	HMX2_HUMAN	HMX2	273	Homo sapiens	Homeobox protein HMX2	2:Experimental evidence at transcript level	20.15	10.000	0.9990	3	2	2	5	3	3	112927571	7739043	112927571	13K(229.1629), 2C(57.0214), N-term(229.1692)			50.194.528.765	31.061.616.318	39.097.001.533	38.606.636.934	49.004.952.666	31.024.486.533	39.896.044.819	32.432.739.417	30.599.746.819	52.170.693.860	45.867.546.592
sp|A2RUC4|TYW5_HUMAN	A2RUC4	TYW5_HUMAN	TYW5	315	Homo sapiens	tRNA wybutosine-synthesizing protein 5	1:Experimental evidence at protein level	9.52	10.000	0.9990	3	3	3	3	3	3	8256581	8256581	8256581	13K(229.1629), 7K(229.1629), N-term(229.1692)			547.870.176	419.866.113	533.913.750	507.920.898	608.617.871	449.184.512	478.039.375	454.136.230	574.897.754	633.995.840	795.643.047
sp|A2RUS2|DEND3_HUMAN	A2RUS2	DEND3_HUMAN	DENND3	1198	Homo sapiens	DENN domain-containing protein 3	1:Experimental evidence at protein level	42.74	10.000	0.9990	39	39	39	87	87	87	240278808	240278808	240278808	11K(229.1629), 12C(57.0214), 13C(57.0214), 13K(229.1629), 14C(57.0214), 14K(229.1629), 18K(229.1629), 18M(15.9949), 19C(57.0214), 19K(229.1629), 1K(229.1629), 21K(229.1629), 28K(229.1629), 29C(57.0214), 2C(57.0214), 35C(57.0214), 3C(57.0214), 41K(229.1629), 4C(57.0214), 5C(57.0214), 5M(15.9949), 6M(15.9949), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1692)			37.708.267.152	29.625.031.613	51.175.263.690	32.979.766.577	49.560.713.575	37.669.784.479	36.275.718.879	46.796.833.020	38.747.779.849	51.330.649.753	67.422.996.199
sp|A2VDF0|FUCM_HUMAN	A2VDF0	FUCM_HUMAN	FUOM	154	Homo sapiens	Fucose mutarotase	1:Experimental evidence at protein level	25.97	10.000	0.9990	3	3	3	3	3	3	660502	660502	660502	15K(229.1629), N-term(229.1692)			178.100.765	76.580.303	111.356.333	99.041.318	209.146.838	215.450.170	100.263.373	59.276.788	72.356.729	167.159.202	168.059.767
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens	von Willebrand factor A domain-containing protein 8	1:Experimental evidence at protein level	22.73	10.000	0.9990	37	37	37	55	55	55	112291530	112291530	112291530	10C(57.0214), 10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 16K(229.1629), 18K(229.1629), 1C(57.0214), 20K(229.1629), 3C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			23.145.843.911	19.367.960.515	19.018.745.427	19.551.474.507	24.854.383.186	15.610.234.376	20.806.411.780	16.611.450.076	23.494.977.700	26.224.950.225	24.834.498.296
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens	Protein strawberry notch homolog 1	1:Experimental evidence at protein level	31.59	10.000	0.9990	36	31	36	65	56	65	372636696	372636696	372636696	11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 17K(229.1629), 19K(229.1629), 21C(57.0214), 22K(229.1629), 26K(229.1629), 2K(229.1629), 30K(229.1629), 3C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692)			38.728.198.855	23.143.238.657	37.759.615.386	26.478.067.932	40.713.361.875	34.596.860.603	30.754.240.932	34.121.889.320	28.442.461.362	39.165.148.127	45.753.635.054
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens	GTP-binding protein 10	1:Experimental evidence at protein level	16.54	10.000	0.9990	5	5	5	10	10	10	52025475	52025475	52025475	11K(229.1629), 12K(229.1629), 22K(229.1629), 6C(57.0214), 8K(229.1629), N-term(229.1692)			2.514.142.727	1.705.848.560	2.040.121.382	1.602.295.024	2.117.315.229	1.757.105.881	2.038.765.862	1.798.129.910	1.850.717.888	2.093.693.518	2.783.520.503
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	Homo sapiens	WD repeat-containing protein 91	1:Experimental evidence at protein level	36.14	10.000	0.9990	22	22	22	38	38	38	136537686	136537686	136537686	10C(57.0214), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 1K(229.1629), 20C(57.0214), 23K(229.1629), 2K(229.1629), 3C(57.0214), 7K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			12.524.404.985	20.107.526.738	19.830.766.375	21.321.412.146	18.641.914.272	13.440.159.014	22.068.782.412	18.216.474.382	25.941.991.768	20.460.386.838	24.156.824.526
sp|A4D1U4|DEN11_HUMAN	A4D1U4	DEN11_HUMAN	DENND11	455	Homo sapiens	DENN domain-containing protein 11	1:Experimental evidence at protein level	2.86	10.000	0.9990	1	1	1	1	1	1	0	0	0	13K(229.1629), 7C(57.0214), N-term(229.1692)			157.182.637	123.755.156	94.066.650	117.764.336	184.175.781	96.124.404	116.623.564	135.500.879	96.418.418	187.924.336	179.184.082
sp|A5A3E0|POTEF_HUMAN	A5A3E0	POTEF_HUMAN	POTEF	1075	Homo sapiens	POTE ankyrin domain family member F	1:Experimental evidence at protein level	10.88	10.000	0.9990	13	1	3	352	36	44	29615729152	25060251	29615729152	14M(15.9949), 16K(229.1629), 23K(229.1629), 2C(57.0214), 3M(15.9949), 7K(229.1629), N-term(229.1692)			1.053.141.156.520	1.107.343.870.127	1.617.108.378.821	1.212.366.267.292	1.369.940.588.244	1.015.817.141.915	1.197.429.042.608	1.290.774.383.074	977.823.712.013	1.658.521.967.700	1.790.006.219.695
sp|A5D8V6|VP37C_HUMAN	A5D8V6	VP37C_HUMAN	VPS37C	355	Homo sapiens	Vacuolar protein sorting-associated protein 37C	1:Experimental evidence at protein level	8.73	10.000	0.9990	2	2	2	4	4	4	57933034	57933034	57933034	11K(229.1629), 20K(229.1629), N-term(229.1692)			1.190.633.184	802.003.340	1.456.317.432	775.117.998	1.392.412.324	1.130.365.898	1.163.066.680	1.068.638.564	1.031.093.477	1.209.450.762	1.711.619.473
sp|A5PLN9|TPC13_HUMAN	A5PLN9	TPC13_HUMAN	TRAPPC13	417	Homo sapiens	Trafficking protein particle complex subunit 13	1:Experimental evidence at protein level	29.98	10.000	0.9990	10	10	10	25	25	25	230338500	230338500	230338500	12C(57.0214), 14C(57.0214), 17K(229.1629), 19K(229.1629), 20C(57.0214), 20K(229.1629), 21K(229.1629), 3K(229.1629), 5C(57.0214), 7K(229.1629), 8K(229.1629), 9C(57.0214), N-term(229.1692)			12.221.148.750	11.075.274.795	14.881.441.484	11.705.101.890	12.782.216.489	10.433.544.272	13.107.673.677	12.683.567.529	13.191.681.406	15.816.227.461	18.218.445.483
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	CCR4-NOT transcription complex subunit 1	1:Experimental evidence at protein level	32.95	10.000	0.9990	69	69	69	143	143	143	348669592	348669592	348669592	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 13M(15.9949), 14K(229.1629), 15C(57.0214), 15K(229.1629), 15M(15.9949), 16K(229.1629), 17K(229.1629), 19C(57.0214), 19K(229.1629), 1C(57.0214), 20C(57.0214), 20K(229.1629), 22M(15.9949), 23K(229.1629), 24K(229.1629), 26K(229.1629), 2K(229.1629), 2M(15.9949), 5C(57.0214), 6C(57.0214), 6M(15.9949), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8K(229.1629), 8M(15.9949), 9C(57.0214), 9K(229.1629), N-term(229.1692)			76.331.592.753	58.533.206.177	81.861.444.713	68.367.054.226	87.415.112.659	68.045.135.653	76.789.486.188	79.324.533.740	71.121.661.932	93.535.940.894	113.340.459.565
sp|A6NC98|CC88B_HUMAN	A6NC98	CC88B_HUMAN	CCDC88B	1476	Homo sapiens	Coiled-coil domain-containing protein 88B	1:Experimental evidence at protein level	10.16	10.000	0.9990	13	13	13	17	17	17	108418974	108418974	108418974	10K(229.1629), 12K(229.1629), 1K(229.1629), 8K(229.1629), N-term(229.1692)			4.815.174.258	5.474.958.525	10.072.333.706	4.845.723.789	6.027.714.590	5.696.230.667	8.189.811.377	9.209.921.169	7.039.651.780	7.971.065.503	11.237.788.545
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens	Glycerol-3-phosphate phosphatase	1:Experimental evidence at protein level	36.14	10.000	0.9990	11	11	11	25	25	25	278959512	278959512	278959512	13M(15.9949), 14K(229.1629), 15K(229.1629), 4M(15.9949), 5C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692), N-term(42.0106)			14.129.929.072	13.653.769.070	14.232.837.776	12.219.472.161	15.308.887.212	11.804.136.357	14.532.746.125	12.018.617.957	11.430.844.358	15.028.203.513	20.668.891.348
sp|A6NDU8|RIMC1_HUMAN	A6NDU8	RIMC1_HUMAN	RIMOC1	294	Homo sapiens	RAB7A-interacting MON1-CCZ1 complex subunit 1	1:Experimental evidence at protein level	36.73	10.000	0.9990	9	9	9	14	14	14	373635012	373635012	373635012	10K(229.1629), 11K(229.1629), 12C(57.0214), 13K(229.1629), 18K(229.1629), 1C(57.0214), 1K(229.1629), 2C(57.0214), 3C(57.0214), 4M(15.9949), 5C(57.0214), 6C(57.0214), 7K(229.1629), 8C(57.0214), N-term(229.1692)			11.832.346.709	8.560.461.538	11.784.108.201	9.389.443.098	15.468.990.833	10.049.253.008	10.715.017.952	9.701.101.973	9.144.819.810	13.821.128.804	15.711.875.161
sp|A6NED2|RCCD1_HUMAN	A6NED2	RCCD1_HUMAN	RCCD1	376	Homo sapiens	RCC1 domain-containing protein 1	1:Experimental evidence at protein level	12.77	10.000	0.9990	4	4	4	9	9	9	49886989	49886989	49886989	11K(229.1629), 13K(229.1629), 8K(229.1629), N-term(229.1692)			2.208.927.900	1.767.999.951	3.031.745.195	1.965.308.687	2.332.573.037	2.109.431.387	2.437.728.154	2.660.619.756	2.559.526.660	2.900.860.283	3.782.421.191
sp|A6NFI3|ZN316_HUMAN	A6NFI3	ZN316_HUMAN	ZNF316	1004	Homo sapiens	Zinc finger protein 316	1:Experimental evidence at protein level	5.98	10.000	0.9990	6	5	6	8	7	8	37419870	37419870	37419870	10C(57.0214), 12K(229.1629), 13C(57.0214), N-term(229.1692)			1.687.513.374	1.474.920.493	1.855.393.735	1.774.865.391	2.074.751.592	1.512.401.611	1.629.569.092	1.679.215.122	1.734.509.561	1.980.551.611	2.265.822.646
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens	Tubulin alpha chain-like 3	1:Experimental evidence at protein level	11.88	10.000	0.9990	7	2	2	48	7	7	10519398656	101940792	10519398656	11M(15.9949), 12K(229.1629), 18K(229.1629), 5M(15.9949), N-term(229.1692)			261.761.403.057	183.065.623.501	227.439.074.829	191.752.091.606	278.859.791.055	206.450.799.268	209.070.500.276	191.033.177.310	182.107.103.757	267.598.785.186	276.978.664.131
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1:Experimental evidence at protein level	46.33	10.000	0.9990	88	88	88	184	184	184	307422048	307422048	307422048	10C(57.0214), 10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13C(57.0214), 14C(57.0214), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 1C(57.0214), 1K(229.1629), 20K(229.1629), 21K(229.1629), 24K(229.1629), 27K(229.1629), 2C(57.0214), 2K(229.1629), 2M(15.9949), 33K(229.1629), 34K(229.1629), 3C(57.0214), 3K(229.1629), 3M(15.9949), 4C(57.0214), 4M(15.9949), 5M(15.9949), 6C(57.0214), 6K(229.1629), 7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692), N-term(42.0106)			118.699.024.868	107.607.267.760	149.679.030.533	122.989.682.203	156.192.435.112	99.211.655.986	137.221.019.734	126.851.898.124	141.423.206.414	167.808.435.051	193.667.568.242
sp|A6NHT5|HMX3_HUMAN	A6NHT5	HMX3_HUMAN	HMX3	357	Homo sapiens	Homeobox protein HMX3	1:Experimental evidence at protein level	30.53	10.000	0.9990	9	7	9	22	18	22	245333308	147976360	245333308	13K(229.1629), 26K(229.1629), 27K(229.1629), 7K(229.1629), N-term(229.1692)			58.547.414.868	35.623.770.151	44.025.966.841	43.954.877.788	54.851.623.306	37.600.997.656	45.172.656.240	38.448.117.007	35.455.445.840	59.989.391.631	56.785.322.612
sp|A6NIH7|U119B_HUMAN	A6NIH7	U119B_HUMAN	UNC119B	251	Homo sapiens	Protein unc-119 homolog B	1:Experimental evidence at protein level	38.65	10.000	0.9990	6	5	6	9	6	9	75881162	75248676	75881162	10K(229.1629), 17K(229.1629), 3C(57.0214), N-term(229.1692)			4.112.649.238	3.490.434.829	3.681.153.818	3.604.433.257	4.542.411.323	3.374.949.990	3.761.464.937	3.107.220.566	3.476.133.345	4.228.869.038	5.207.999.097
sp|A6NJ78|MET15_HUMAN	A6NJ78	MET15_HUMAN	METTL15	407	Homo sapiens	12S rRNA N4-methylcytidine (m4C) methyltransferase	1:Experimental evidence at protein level	22.85	10.000	0.9990	7	7	7	10	10	10	88280980	88280980	88280980	16M(15.9949), 21K(229.1629), N-term(229.1692)			2.502.302.744	1.456.556.548	1.837.280.205	1.917.000.093	2.555.972.778	1.620.565.366	1.811.353.901	2.009.195.425	1.478.403.330	2.860.470.312	2.555.869.595
