Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	parental_MOLM14_R1	Late_Gilteritinib_MOLM14_R1	Early_Gilteritinib_MOLM14_FGF2_R1	Late_Gilteritinib_MOLM14_FGF2_R2	Early_Gilteritinib_MOLM14_FGF2_R2	Late_Gilteritinib_MOLM14_FGF2_R3	parental_MOLM14_R2	Early_Gilteritinib_MOLM14_FGF2_R3	Late_Gilteritinib_MOLM14_FGF2_R4	Early_Gilteritinib_MOLM14_FGF2_R4	Pool01
sp|A0JNW5|BLT3B_HUMAN	A0JNW5	BLT3B_HUMAN	BLTP3B	1464	Homo sapiens	Bridge-like lipid transfer protein family member 3B	1:Experimental evidence at protein level	21.31	10.000	0.9990	26	26	26	42	42	42	450188508	450188508	450188508	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 15C(57.0214), 16K(229.1629), 20K(229.1629), 22K(229.1629), 26K(229.1629), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6M(15.9949), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1692)			20.564.055.833	26.187.786.157	16.727.262.292	28.667.193.706	22.998.535.776	26.810.746.650	28.749.173.198	21.091.237.009	30.717.113.669	17.435.583.624	38.976.191.660
sp|A0MZ66|SHOT1_HUMAN	A0MZ66	SHOT1_HUMAN	SHTN1	631	Homo sapiens	Shootin-1	1:Experimental evidence at protein level	36.77	10.000	0.9990	24	24	24	48	48	48	228909060	228909060	228909060	10K(229.1629), 11C(57.0214), 13K(229.1629), 14K(229.1629), 15K(229.1629), 19K(229.1629), 1K(229.1629), 4C(57.0214), 5C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692), N-term(42.0106)			19.272.893.379	26.525.303.486	16.930.194.753	32.239.757.759	24.845.356.016	30.792.192.058	25.121.633.044	26.559.116.338	33.105.616.138	17.110.526.875	27.955.710.935
sp|A0PJW6|TM223_HUMAN	A0PJW6	TM223_HUMAN	TMEM223	202	Homo sapiens	Transmembrane protein 223	1:Experimental evidence at protein level	12.87	10.000	0.9990	3	3	3	6	6	6	21585759	21585759	21585759	4C(57.0214), 5M(15.9949), 8K(229.1629), N-term(229.1692)			1.537.568.638	1.572.657.197	1.171.343.057	1.714.141.611	1.734.276.924	1.805.180.820	2.094.324.287	1.263.233.887	1.912.895.342	1.480.965.439	2.536.048.896
sp|A1A4S6|RHG10_HUMAN	A1A4S6	RHG10_HUMAN	ARHGAP10	786	Homo sapiens	Rho GTPase-activating protein 10	1:Experimental evidence at protein level	3.69	10.000	0.9990	4	3	3	5	3	3	119527484	56828103	119527484	7K(229.1629), 8K(229.1629), N-term(229.1692)			1.484.950.400	1.518.967.188	1.144.765.947	1.722.762.783	1.649.780.820	1.722.591.641	1.930.888.584	1.607.624.238	1.600.819.980	1.454.313.374	2.034.264.131
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	632	Homo sapiens	2-hydroxyacyl-CoA lyase 2	1:Experimental evidence at protein level	49.05	10.000	0.9990	22	22	22	54	54	54	455449392	455449392	455449392	10C(57.0214), 12C(57.0214), 14K(229.1629), 16C(57.0214), 17K(229.1629), 19K(229.1629), 1C(57.0214), 1K(229.1629), 21K(229.1629), 24K(229.1629), 2C(57.0214), 31K(229.1629), 4M(15.9949), 8K(229.1629), 9C(57.0214), N-term(229.1692)			27.741.345.146	35.727.442.347	19.048.162.806	40.608.515.933	27.031.170.636	37.523.839.016	38.661.415.388	24.081.025.476	39.752.583.341	21.002.729.884	44.557.275.046
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	Homo sapiens	Pleckstrin homology domain-containing family G member 3	1:Experimental evidence at protein level	0.90	10.000	0.9990	1	1	1	1	1	1	3744046	3744046	3744046	N-term(229.1692)			345.925.273	230.823.730	201.634.785	204.808.965	282.013.535	214.185.039	284.508.203	148.234.434	284.674.219	144.559.199	416.909.141
sp|A2A288|ZC12D_HUMAN	A2A288	ZC12D_HUMAN	ZC3H12D	527	Homo sapiens	Probable ribonuclease ZC3H12D	1:Experimental evidence at protein level	7.78	10.000	0.9990	4	3	4	4	3	4	41202735	41202735	41202735	N-term(229.1692)			539.334.214	956.528.223	692.112.871	1.053.535.859	999.370.000	858.489.219	1.297.040.078	849.563.574	760.605.312	787.302.822	1.110.257.363
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens	NBAS subunit of NRZ tethering complex	1:Experimental evidence at protein level	18.77	10.000	0.9990	38	38	38	63	63	63	112799520	112799520	112799520	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 17K(229.1629), 1C(57.0214), 1K(229.1629), 20K(229.1629), 24C(57.0214), 27K(229.1629), 2C(57.0214), 4C(57.0214), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			22.896.246.611	29.213.369.197	18.599.089.073	33.110.775.688	26.723.208.735	30.610.941.182	31.022.667.914	23.669.990.540	32.990.781.584	22.168.492.706	39.859.961.912
sp|A2RTX5|SYTC2_HUMAN	A2RTX5	SYTC2_HUMAN	TARS3	802	Homo sapiens	Threonine--tRNA ligase 2, cytoplasmic	1:Experimental evidence at protein level	8.98	10.000	0.9990	5	3	3	10	3	3	88640561	14218441	88640561	10C(57.0214), 14C(57.0214), 15K(229.1629), 20K(229.1629), N-term(229.1692)			4.047.630.815	4.709.250.459	2.656.857.263	5.086.218.887	4.475.293.403	4.619.015.200	5.404.043.232	3.678.036.812	5.070.873.691	3.544.317.434	6.049.982.729
sp|A2RU54|HMX2_HUMAN	A2RU54	HMX2_HUMAN	HMX2	273	Homo sapiens	Homeobox protein HMX2	2:Experimental evidence at transcript level	12.45	10.000	0.9990	4	2	2	6	3	3	128059119	29370855	128059119	13K(229.1629), 4C(57.0214), 6C(57.0214), N-term(229.1692)			13.660.925.352	15.600.725.537	9.860.730.698	14.167.161.377	16.736.453.618	13.950.010.605	17.734.536.074	15.574.430.381	16.939.662.026	16.526.434.795	23.472.455.771
sp|A2RUC4|TYW5_HUMAN	A2RUC4	TYW5_HUMAN	TYW5	315	Homo sapiens	tRNA wybutosine-synthesizing protein 5	1:Experimental evidence at protein level	4.76	10.000	0.9990	1	1	1	2	2	2	5174800	5174800	5174800	N-term(229.1692)			288.796.196	417.754.883	232.376.282	400.098.872	446.867.422	468.557.197	397.737.961	405.684.524	483.451.660	517.822.793	704.127.534
sp|A2RUS2|DEND3_HUMAN	A2RUS2	DEND3_HUMAN	DENND3	1198	Homo sapiens	DENN domain-containing protein 3	1:Experimental evidence at protein level	33.14	10.000	0.9990	33	33	33	64	64	64	263744800	263744800	263744800	11K(229.1629), 12C(57.0214), 13C(57.0214), 13K(229.1629), 14C(57.0214), 14K(229.1629), 18K(229.1629), 19C(57.0214), 1K(229.1629), 28K(229.1629), 2C(57.0214), 3C(57.0214), 5C(57.0214), 5M(15.9949), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1692)			43.627.469.156	49.695.424.274	32.833.668.649	52.232.339.401	41.375.385.400	48.798.253.118	56.664.744.641	36.472.725.674	57.131.515.931	33.865.781.957	81.781.278.655
sp|A2VDF0|FUCM_HUMAN	A2VDF0	FUCM_HUMAN	FUOM	154	Homo sapiens	Fucose mutarotase	1:Experimental evidence at protein level	16.23	10.000	0.9990	2	2	2	3	3	3	0	0	0	N-term(229.1692)			65.052.690	151.678.120	126.268.672	229.053.008	196.782.261	189.560.947	198.555.571	105.280.737	96.571.367	0.0000	286.403.193
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens	von Willebrand factor A domain-containing protein 8	1:Experimental evidence at protein level	23.20	10.000	0.9990	37	37	37	50	50	50	98144590	98144590	98144590	10C(57.0214), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15K(229.1629), 16K(229.1629), 18K(229.1629), 1C(57.0214), 20K(229.1629), 3C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			13.614.284.973	18.045.076.084	10.659.357.373	19.026.452.996	16.364.618.977	16.363.839.839	17.493.944.690	12.151.720.144	19.786.687.720	10.396.475.278	18.821.197.615
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens	Protein strawberry notch homolog 1	1:Experimental evidence at protein level	31.66	10.000	0.9990	34	30	34	64	57	64	333582816	333582816	333582816	11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 19C(57.0214), 19K(229.1629), 21C(57.0214), 21K(229.1629), 22K(229.1629), 26K(229.1629), 2K(229.1629), 31K(229.1629), 3C(57.0214), 5K(229.1629), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1692)			39.184.798.918	35.621.933.387	25.476.854.570	42.535.449.755	37.083.625.385	38.827.090.815	56.286.824.958	30.165.738.175	41.845.708.440	27.058.875.728	52.131.597.207
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens	GTP-binding protein 10	1:Experimental evidence at protein level	25.58	10.000	0.9990	9	9	9	18	18	18	186471196	186471196	186471196	11K(229.1629), 12K(229.1629), 15K(229.1629), 22K(229.1629), 6C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692)			4.317.157.841	4.169.849.519	3.458.886.216	4.238.680.789	5.379.878.750	4.445.707.039	6.365.104.048	3.364.199.417	4.836.108.167	4.615.943.945	6.305.685.039
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	Homo sapiens	WD repeat-containing protein 91	1:Experimental evidence at protein level	31.86	10.000	0.9990	20	20	20	39	39	39	205033120	205033120	205033120	10C(57.0214), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 1K(229.1629), 23K(229.1629), 2K(229.1629), 3C(57.0214), 7K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692), N-term(42.0106)			10.582.048.618	17.642.796.548	12.796.909.609	18.930.654.180	16.114.286.460	18.681.385.046	17.318.266.646	15.596.406.079	16.147.608.306	16.755.779.421	21.313.455.479
sp|A4D1U4|DEN11_HUMAN	A4D1U4	DEN11_HUMAN	DENND11	455	Homo sapiens	DENN domain-containing protein 11	1:Experimental evidence at protein level	4.84	10.000	0.9990	1	1	1	2	2	2	7331331	7331331	7331331	N-term(229.1692)			178.932.339	161.904.849	257.923.115	261.294.541	226.201.143	204.702.246	236.482.236	202.061.826	219.630.869	280.681.309	419.340.449
sp|A5A3E0|POTEF_HUMAN	A5A3E0	POTEF_HUMAN	POTEF	1075	Homo sapiens	POTE ankyrin domain family member F	1:Experimental evidence at protein level	15.16	10.000	0.9990	15	2	4	381	44	51	30468315136	147314767	30468315136	12M(15.9949), 14M(15.9949), 16C(57.0214), 16K(229.1629), 18K(229.1629), 1C(57.0214), 1C(57.0214), 23K(229.1629), 28K(229.1629), 2C(57.0214), 9C(57.0214), N-term(229.1692)			750.162.595.955	1.138.447.237.618	629.904.245.351	1.195.332.045.864	847.895.608.049	1.082.375.086.988	1.155.554.698.154	763.524.680.342	1.296.501.812.909	779.752.377.342	1.589.325.942.250
sp|A5D8V6|VP37C_HUMAN	A5D8V6	VP37C_HUMAN	VPS37C	355	Homo sapiens	Vacuolar protein sorting-associated protein 37C	1:Experimental evidence at protein level	5.63	10.000	0.9990	1	1	1	2	2	2	27369472	27369472	27369472	20K(229.1629), N-term(229.1692)			300.293.320	365.516.934	408.890.283	583.532.695	400.258.818	431.040.840	489.386.484	418.488.076	520.152.871	373.167.642	597.551.211
sp|A5PLN9|TPC13_HUMAN	A5PLN9	TPC13_HUMAN	TRAPPC13	417	Homo sapiens	Trafficking protein particle complex subunit 13	1:Experimental evidence at protein level	25.18	10.000	0.9990	9	9	9	16	16	16	269410768	269410768	269410768	12C(57.0214), 14C(57.0214), 17K(229.1629), 19K(229.1629), 20C(57.0214), 21K(229.1629), 3K(229.1629), 5C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692)			7.394.286.597	9.842.261.670	5.868.294.731	10.412.875.713	8.529.252.715	10.084.436.074	10.634.581.504	9.345.944.551	9.522.549.165	8.384.332.842	11.836.561.392
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	CCR4-NOT transcription complex subunit 1	1:Experimental evidence at protein level	32.07	10.000	0.9990	65	65	65	139	139	139	674685552	674685552	674685552	10K(229.1629), 11C(57.0214), 11K(229.1629), 12C(57.0214), 12K(229.1629), 13K(229.1629), 13M(15.9949), 14K(229.1629), 15C(57.0214), 15K(229.1629), 15M(15.9949), 16K(229.1629), 17K(229.1629), 18K(229.1629), 19C(57.0214), 1C(57.0214), 1C(57.0214), 20C(57.0214), 20K(229.1629), 22M(15.9949), 23K(229.1629), 24K(229.1629), 26K(229.1629), 28K(229.1629), 2M(15.9949), 5C(57.0214), 6M(15.9949), 7C(57.0214), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1692)			52.183.635.787	57.043.951.162	41.349.303.455	62.779.837.717	58.135.880.441	59.117.835.518	72.797.106.223	46.772.241.504	66.784.511.387	44.894.646.870	88.669.486.885
sp|A6NC98|CC88B_HUMAN	A6NC98	CC88B_HUMAN	CCDC88B	1476	Homo sapiens	Coiled-coil domain-containing protein 88B	1:Experimental evidence at protein level	13.69	10.000	0.9990	17	17	17	21	21	21	105959300	105959300	105959300	10M(15.9949), 15K(229.1629), 1K(229.1629), N-term(229.1692)			4.122.380.630	6.429.269.725	4.785.578.357	6.571.108.081	6.994.130.073	6.238.647.600	7.295.218.153	6.301.716.228	6.917.331.416	5.929.931.614	9.011.565.696
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens	Glycerol-3-phosphate phosphatase	1:Experimental evidence at protein level	39.56	10.000	0.9990	12	12	12	29	29	29	319269720	319269720	319269720	11K(229.1629), 13M(15.9949), 14K(229.1629), 15K(229.1629), 5C(57.0214), 7C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1692), N-term(42.0106)			19.205.177.400	24.624.385.103	15.502.230.930	30.666.546.934	22.592.167.769	27.313.907.595	34.017.334.204	18.464.579.966	28.439.882.246	16.947.056.038	41.731.582.925
sp|A6NDU8|RIMC1_HUMAN	A6NDU8	RIMC1_HUMAN	RIMOC1	294	Homo sapiens	RAB7A-interacting MON1-CCZ1 complex subunit 1	1:Experimental evidence at protein level	41.50	10.000	0.9990	10	10	10	16	16	16	106003886	106003886	106003886	10K(229.1629), 12C(57.0214), 18K(229.1629), 1C(57.0214), 2C(57.0214), 3C(57.0214), 4M(15.9949), 5C(57.0214), 7K(229.1629), N-term(229.1692), N-term(42.0106)			10.387.977.961	10.087.884.468	6.620.068.567	10.809.275.897	9.379.312.489	9.402.517.583	14.992.521.782	5.786.082.821	11.762.211.143	4.551.736.597	15.563.978.293
sp|A6NED2|RCCD1_HUMAN	A6NED2	RCCD1_HUMAN	RCCD1	376	Homo sapiens	RCC1 domain-containing protein 1	1:Experimental evidence at protein level	19.41	10.000	0.9990	7	7	7	10	10	10	58966791	58966791	58966791	11K(229.1629), 13K(229.1629), 6C(57.0214), 8K(229.1629), N-term(229.1692)			4.112.805.742	4.932.146.250	3.463.090.586	5.037.045.283	4.678.790.508	5.265.136.826	5.532.634.775	3.265.361.133	5.791.650.215	3.055.139.812	7.249.455.918
sp|A6NFI3|ZN316_HUMAN	A6NFI3	ZN316_HUMAN	ZNF316	1004	Homo sapiens	Zinc finger protein 316	1:Experimental evidence at protein level	7.57	10.000	0.9990	7	7	7	9	9	9	83827637	83827637	83827637	10C(57.0214), 13C(57.0214), 1C(57.0214), 4C(57.0214), N-term(229.1692)			2.729.536.055	3.493.839.292	3.087.597.571	4.089.422.534	3.183.817.397	3.860.775.547	4.206.959.365	3.362.291.797	3.489.716.514	3.309.907.124	5.303.095.430
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens	Tubulin alpha chain-like 3	1:Experimental evidence at protein level	11.88	10.000	0.9990	6	1	1	60	8	8	11601138432	115907116	11601138432	11M(15.9949), 18K(229.1629), N-term(229.1692)			188.655.995.266	188.141.366.614	101.205.272.932	233.032.170.681	188.026.470.132	208.187.122.371	263.833.018.721	166.528.176.816	237.058.112.019	120.510.359.985	277.602.762.534
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1:Experimental evidence at protein level	41.75	10.000	0.9990	79	79	79	169	169	169	343626712	343626712	343626712	10C(57.0214), 10K(229.1629), 11C(57.0214), 11K(229.1629), 12K(229.1629), 13C(57.0214), 14C(57.0214), 14K(229.1629), 15K(229.1629), 16K(229.1629), 17K(229.1629), 18K(229.1629), 1C(57.0214), 1K(229.1629), 20K(229.1629), 21K(229.1629), 24K(229.1629), 2C(57.0214), 2K(229.1629), 33K(229.1629), 34K(229.1629), 3C(57.0214), 3M(15.9949), 4C(57.0214), 4M(15.9949), 5M(15.9949), 6C(57.0214), 7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1692), N-term(42.0106)			102.229.010.813	124.124.917.039	91.986.440.087	140.330.839.197	124.555.756.151	137.529.781.444	146.654.388.341	109.267.014.568	138.954.913.015	103.500.775.306	190.661.573.086
sp|A6NHT5|HMX3_HUMAN	A6NHT5	HMX3_HUMAN	HMX3	357	Homo sapiens	Homeobox protein HMX3	1:Experimental evidence at protein level	30.53	10.000	0.9990	10	7	10	21	15	21	274098040	222908936	274098040	12M(15.9949), 13K(229.1629), 26K(229.1629), 27K(229.1629), 7K(229.1629), N-term(229.1692)			18.025.586.584	20.579.405.439	12.884.189.729	20.274.353.696	20.204.213.535	18.960.781.680	23.061.270.112	18.852.575.171	23.361.374.570	19.260.229.395	29.075.586.055
sp|A6NIH7|U119B_HUMAN	A6NIH7	U119B_HUMAN	UNC119B	251	Homo sapiens	Protein unc-119 homolog B	1:Experimental evidence at protein level	17.53	10.000	0.9990	3	2	3	4	2	4	87218968	46236980	87218968	17K(229.1629), 3C(57.0214), N-term(229.1692)			1.731.387.969	1.803.774.922	1.156.613.076	2.090.652.539	2.013.827.812	1.612.582.832	2.316.539.844	1.726.920.117	1.959.464.492	1.834.792.520	2.673.140.488
sp|A6NJ78|MET15_HUMAN	A6NJ78	MET15_HUMAN	METTL15	407	Homo sapiens	12S rRNA N4-methylcytidine (m4C) methyltransferase	1:Experimental evidence at protein level	21.62	10.000	0.9990	7	5	7	8	6	8	87461600	86669176	87461600	11K(229.1629), 13C(57.0214), 18K(229.1629), N-term(229.1692)			2.039.882.017	2.332.405.737	1.151.301.182	2.946.044.702	1.958.628.105	2.316.331.108	2.511.868.984	1.385.360.566	2.843.113.076	1.279.801.455	2.633.560.518
sp|A6NJG2|SWAHD_HUMAN	A6NJG2	SWAHD_HUMAN	SOWAHD	315	Homo sapiens	Ankyrin repeat domain-containing protein SOWAHD	2:Experimental evidence at transcript level	40.95	10.000	0.9990	8	7	7	13	12	12	116939556	56075764	116939556	15K(229.1629), 27K(229.1629), 2C(57.0214), N-term(229.1692), N-term(42.0106)			1.371.558.865	2.228.042.769	1.361.636.923	2.865.891.323	2.089.441.931	2.421.784.978	2.290.241.167	1.761.344.282	2.552.558.643	1.933.388.960	2.743.075.115
sp|A6NKT7|RGPD3_HUMAN	A6NKT7	RGPD3_HUMAN	RGPD3	1758	Homo sapiens	RanBP2-like and GRIP domain-containing protein 3	3:Protein inferred from homology	23.95	10.000	0.9987	43	0	0	87	0	0	348104904	0	348104904				62.378.212.163	69.468.441.694	47.153.951.952	78.402.803.838	62.774.780.696	72.021.492.104	77.073.854.026	53.527.335.045	80.690.634.265	46.560.928.120	97.170.827.971
sp|A7E2V4|ZSWM8_HUMAN	A7E2V4	ZSWM8_HUMAN	ZSWIM8	1837	Homo sapiens	Zinc finger SWIM domain-containing protein 8	1:Experimental evidence at protein level	3.48	10.000	0.9990	5	5	5	5	5	5	14877990	14877990	14877990	13K(229.1629), 16K(229.1629), 1K(229.1629), N-term(229.1692)			1.089.044.220	1.234.919.348	1.205.840.175	1.560.754.973	1.464.840.061	1.107.571.089	1.505.291.072	1.025.723.406	1.987.704.735	716.132.407	2.554.471.702
